Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,110,8,-20,72.05,3.7,52.96,-13,930
1,0,7,-20,74.17,3.4,52.2,-13,930
1,320,7,-20,76.83,3,52.22,-13,930
1,402,7,-20,79.97,2.6,51.65,-13,930
1,261,8,-20,83.52,2.4,51.67,-13,930
1,0,7,-21,87.44,2.2,52.57,-14,930
1,0,7,-21,91.66,2.1,52.58,-14,930
1,0,7,-21,96.15,2,52.28,-14,930
1,0,7,-21,100.84,1.9,52.28,-14,930
1,0,1,-21,105.7,1.9,53.01,-14,930
1,0,7,-21,110.7,2,53,-14,930
1,0,7,-21,115.78,2.2,58.7,-14,930
1,0,7,-21,120.92,2.2,54.06,-14,930
1,0,7,-20,126.07,2.3,55.55,-14,930
1,0,7,-20,131.18,2.3,55.53,-14,930
1,0,8,-20,136.19,2.4,56.94,-14,930
1,0,7,-20,141.02,2.5,56.94,-14,930
1,0,7,-20,145.54,2.6,58.18,-14,930
1,0,7,-20,149.59,2.7,58.19,-14,930
1,0,7,-20,152.92,2.9,59.58,-14,930
1,0,7,-20,155.21,2.9,59.58,-14,930
1,0,7,-20,156.16,3,60.16,-14,930
1,0,7,-20,155.59,3,60.16,-14,930
1,0,7,-20,153.61,3,59.81,-14,930
1,0,7,-20,150.51,3.1,59.81,-14,930
1,0,7,-20,146.62,3.3,59.04,-14,930
1,0,7,-20,142.2,3.4,59.04,-14,930
1,0,7,-20,137.43,3.6,62.53,-14,930
1,0,7,-20,132.46,3.7,62.53,-14,930
1,0,7,-20,127.37,3.8,60.21,-15,930
1,0,7,-20,122.22,3.9,60.21,-15,930
1,0,7,-21,117.07,4,62.38,-15,930
1,0,7,-21,111.96,4,62.39,-15,930
1,0,7,-22,106.94,4,59.04,-16,930
1,0,7,-22,102.03,4,59.05,-16,930
1,0,7,-22,97.29,4,60.66,-16,930
1,0,7,-22,92.74,4,60.68,-16,930
1,0,7,-23,88.44,4,57.68,-17,930
1,0,7,-23,84.43,4,57.7,-17,930
1,0,7,-23,80.78,4.1,55.08,-17,930
1,0,7,-23,77.52,4.1,55.1,-17,930
1,0,7,-24,74.73,4.3,52.94,-17,930
